GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,HardTokenExistsException_Exception,18,0,0,0,7,0,3,0,3,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,GetHardTokenDataResponse,10,0,0,0,4,0,3,0,3,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,GetRemainingNumberOfApprovals,10,0,0,0,4,0,3,0,3,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,AddSubjectToRoleResponse,3,0,0,0,1,0,1,0,1,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,CertificateProfileDoesNotExistException_Exception,18,0,0,0,7,0,3,0,3,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,CaRenewCertRequestResponse,10,0,0,0,4,0,3,0,3,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,Pkcs12ReqResponse,10,0,0,0,4,0,3,0,3,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,ApprovalException_Exception,18,0,0,0,7,0,3,0,3,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,GetAvailableCAsInProfileResponse,14,0,2,0,4,0,3,0,2,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,GetProfileResponse,10,0,0,0,4,0,3,0,3,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,IsAuthorized,10,0,0,0,4,0,3,0,3,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,KeyValuePair,0,17,0,0,0,7,0,5,0,5
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,GetRemainingNumberOfApprovalsResponse,10,0,0,0,4,0,3,0,3,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,AuthorizationDeniedException_Exception,18,0,0,0,7,0,3,0,3,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,CreateCA,81,0,4,0,31,0,21,0,19,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,CvcRequest,24,0,0,0,10,0,7,0,7,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,CreateCryptoToken,42,0,2,0,16,0,11,0,10,0
